"Ársfjórðungur";"Sveitarfélag";"Kyn og ríkisfang";Mannfjöldi eftir sveitarfélögum, kyni, ríkisfangi og ársfjórðungum
"2009Á4";" Borgarbyggð";"Ísl. ríkisborgarar";3360
"2009Á4";" Borgarbyggð";"Erl. ríkisborgarar";200
"2009Á4";" Grundarfjarðarbær";"Alls";900
"2009Á4";" Grundarfjarðarbær";"Karlar";460
"2009Á4";" Grundarfjarðarbær";"Konur";450
"2009Á4";" Grundarfjarðarbær";"Ísl. ríkisborgarar";790
"2009Á4";" Grundarfjarðarbær";"Erl. ríkisborgarar";120
"2009Á4";" Helgafellssveit";"Alls";60
"2009Á4";" Helgafellssveit";"Karlar";35
"2009Á4";" Helgafellssveit";"Konur";25
"2009Á4";" Helgafellssveit";"Ísl. ríkisborgarar";60
"2009Á4";" Helgafellssveit";"Erl. ríkisborgarar";0
"2009Á4";" Stykkishólmsbær";"Alls";1090
"2009Á4";" Stykkishólmsbær";"Karlar";570
"2009Á4";" Stykkishólmsbær";"Konur";530
"2009Á4";" Stykkishólmsbær";"Ísl. ríkisborgarar";1030
"2009Á4";" Stykkishólmsbær";"Erl. ríkisborgarar";60
"2009Á4";" Eyja- og Miklaholtshreppur";"Alls";140
"2009Á4";" Eyja- og Miklaholtshreppur";"Karlar";70
"2009Á4";" Eyja- og Miklaholtshreppur";"Konur";70
"2009Á4";" Eyja- og Miklaholtshreppur";"Ísl. ríkisborgarar";110
"2009Á4";" Eyja- og Miklaholtshreppur";"Erl. ríkisborgarar";30
"2009Á4";" Snæfellsbær";"Alls";1710
"2009Á4";" Snæfellsbær";"Karlar";880
"2009Á4";" Snæfellsbær";"Konur";830
"2009Á4";" Snæfellsbær";"Ísl. ríkisborgarar";1490
"2009Á4";" Snæfellsbær";"Erl. ríkisborgarar";220
"2009Á4";" Dalabyggð";"Alls";690
"2009Á4";" Dalabyggð";"Karlar";360
"2009Á4";" Dalabyggð";"Konur";330
"2009Á4";" Dalabyggð";"Ísl. ríkisborgarar";660
"2009Á4";" Dalabyggð";"Erl. ríkisborgarar";35
"2009Á4";" Bolungarvíkurkaupstaður";"Alls";970
"2009Á4";" Bolungarvíkurkaupstaður";"Karlar";520
"2009Á4";" Bolungarvíkurkaupstaður";"Konur";450
"2009Á4";" Bolungarvíkurkaupstaður";"Ísl. ríkisborgarar";810
"2009Á4";" Bolungarvíkurkaupstaður";"Erl. ríkisborgarar";170
"2009Á4";" Ísafjarðarbær";"Alls";3900
"2009Á4";" Ísafjarðarbær";"Karlar";1970
"2009Á4";" Ísafjarðarbær";"Konur";1930
"2009Á4";" Ísafjarðarbær";"Ísl. ríkisborgarar";3560
"2009Á4";" Ísafjarðarbær";"Erl. ríkisborgarar";340
"2009Á4";" Reykhólahreppur";"Alls";290
"2009Á4";" Reykhólahreppur";"Karlar";150
"2009Á4";" Reykhólahreppur";"Konur";140
"2009Á4";" Reykhólahreppur";"Ísl. ríkisborgarar";290
"2009Á4";" Reykhólahreppur";"Erl. ríkisborgarar";5
"2009Á4";" Tálknafjarðarhreppur";"Alls";300
"2009Á4";" Tálknafjarðarhreppur";"Karlar";160
"2009Á4";" Tálknafjarðarhreppur";"Konur";140
"2009Á4";" Tálknafjarðarhreppur";"Ísl. ríkisborgarar";240
"2009Á4";" Tálknafjarðarhreppur";"Erl. ríkisborgarar";60
"2009Á4";" Vesturbyggð";"Alls";940
"2009Á4";" Vesturbyggð";"Karlar";480
"2009Á4";" Vesturbyggð";"Konur";460
"2009Á4";" Vesturbyggð";"Ísl. ríkisborgarar";820
"2009Á4";" Vesturbyggð";"Erl. ríkisborgarar";120
"2009Á4";" Súðavíkurhreppur";"Alls";200
"2009Á4";" Súðavíkurhreppur";"Karlar";110
"2009Á4";" Súðavíkurhreppur";"Konur";100
"2009Á4";" Súðavíkurhreppur";"Ísl. ríkisborgarar";190
"2009Á4";" Súðavíkurhreppur";"Erl. ríkisborgarar";10
"2009Á4";" Árneshreppur";"Alls";50
"2009Á4";" Árneshreppur";"Karlar";25
"2009Á4";" Árneshreppur";"Konur";25
"2009Á4";" Árneshreppur";"Ísl. ríkisborgarar";50
"2009Á4";" Árneshreppur";"Erl. ríkisborgarar";.
"2009Á4";" Kaldrananeshreppur";"Alls";110
"2009Á4";" Kaldrananeshreppur";"Karlar";60
"2009Á4";" Kaldrananeshreppur";"Konur";60
"2009Á4";" Kaldrananeshreppur";"Ísl. ríkisborgarar";110
"2009Á4";" Kaldrananeshreppur";"Erl. ríkisborgarar";0
"2009Á4";" Bæjarhreppur";"Alls";100
"2009Á4";" Bæjarhreppur";"Karlar";50
"2009Á4";" Bæjarhreppur";"Konur";45
"2009Á4";" Bæjarhreppur";"Ísl. ríkisborgarar";90
"2009Á4";" Bæjarhreppur";"Erl. ríkisborgarar";5
"2009Á4";" Strandabyggð";"Alls";510
"2009Á4";" Strandabyggð";"Karlar";280
"2009Á4";" Strandabyggð";"Konur";230
"2009Á4";" Strandabyggð";"Ísl. ríkisborgarar";510
"2009Á4";" Strandabyggð";"Erl. ríkisborgarar";5
"2009Á4";" Sveitarfélagið Skagafjörður";"Alls";4140
"2009Á4";" Sveitarfélagið Skagafjörður";"Karlar";2110
"2009Á4";" Sveitarfélagið Skagafjörður";"Konur";2020
"2009Á4";" Sveitarfélagið Skagafjörður";"Ísl. ríkisborgarar";3970
"2009Á4";" Sveitarfélagið Skagafjörður";"Erl. ríkisborgarar";160
"2009Á4";" Húnaþing vestra";"Alls";1120
"2009Á4";" Húnaþing vestra";"Karlar";540
"2009Á4";" Húnaþing vestra";"Konur";580
"2009Á4";" Húnaþing vestra";"Ísl. ríkisborgarar";1070
"2009Á4";" Húnaþing vestra";"Erl. ríkisborgarar";50
"2009Á4";" Blönduósbær";"Alls";890
"2009Á4";" Blönduósbær";"Karlar";460
"2009Á4";" Blönduósbær";"Konur";430
"2009Á4";" Blönduósbær";"Ísl. ríkisborgarar";810
"2009Á4";" Blönduósbær";"Erl. ríkisborgarar";80
"2009Á4";" Sveitarfélagið Skagaströnd";"Alls";520
"2009Á4";" Sveitarfélagið Skagaströnd";"Karlar";260
"2009Á4";" Sveitarfélagið Skagaströnd";"Konur";260
"2009Á4";" Sveitarfélagið Skagaströnd";"Ísl. ríkisborgarar";510
"2009Á4";" Sveitarfélagið Skagaströnd";"Erl. ríkisborgarar";5
"2009Á4";" Skagabyggð";"Alls";110
"2009Á4";" Skagabyggð";"Karlar";60
"2009Á4";" Skagabyggð";"Konur";45
"2009Á4";" Skagabyggð";"Ísl. ríkisborgarar";100
"2009Á4";" Skagabyggð";"Erl. ríkisborgarar";5
"2009Á4";" Húnavatnshreppur";"Alls";430
"2009Á4";" Húnavatnshreppur";"Karlar";230
"2009Á4";" Húnavatnshreppur";"Konur";200
"2009Á4";" Húnavatnshreppur";"Ísl. ríkisborgarar";400
"2009Á4";" Húnavatnshreppur";"Erl. ríkisborgarar";25
"2009Á4";" Akrahreppur";"Alls";210
"2009Á4";" Akrahreppur";"Karlar";110
"2009Á4";" Akrahreppur";"Konur";100
"2009Á4";" Akrahreppur";"Ísl. ríkisborgarar";200
"2009Á4";" Akrahreppur";"Erl. ríkisborgarar";10
"2009Á4";" Akureyrarbær";"Alls";17570
"2009Á4";" Akureyrarbær";"Karlar";8670
"2009Á4";" Akureyrarbær";"Konur";8900
"2009Á4";" Akureyrarbær";"Ísl. ríkisborgarar";17120
"2009Á4";" Akureyrarbær";"Erl. ríkisborgarar";450
"2009Á4";" Norðurþing";"Alls";2930
"2009Á4";" Norðurþing";"Karlar";1470
"2009Á4";" Norðurþing";"Konur";1470
"2009Á4";" Norðurþing";"Ísl. ríkisborgarar";2770
"2009Á4";" Norðurþing";"Erl. ríkisborgarar";160
"2009Á4";" Fjallabyggð";"Alls";2070
"2009Á4";" Fjallabyggð";"Karlar";1060
"2009Á4";" Fjallabyggð";"Konur";1010
"2009Á4";" Fjallabyggð";"Ísl. ríkisborgarar";2010
"2009Á4";" Fjallabyggð";"Erl. ríkisborgarar";60
"2009Á4";" Dalvíkurbyggð";"Alls";1950
"2009Á4";" Dalvíkurbyggð";"Karlar";1010
"2009Á4";" Dalvíkurbyggð";"Konur";940
"2009Á4";" Dalvíkurbyggð";"Ísl. ríkisborgarar";1770
"2009Á4";" Dalvíkurbyggð";"Erl. ríkisborgarar";180
"2009Á4";" Arnarneshreppur";"Alls";180
"2009Á4";" Arnarneshreppur";"Karlar";90
"2009Á4";" Arnarneshreppur";"Konur";90
"2009Á4";" Arnarneshreppur";"Ísl. ríkisborgarar";170
"2009Á4";" Arnarneshreppur";"Erl. ríkisborgarar";10
"2009Á4";" Eyjafjarðarsveit";"Alls";1030
"2009Á4";" Eyjafjarðarsveit";"Karlar";530
"2009Á4";" Eyjafjarðarsveit";"Konur";500
"2009Á4";" Eyjafjarðarsveit";"Ísl. ríkisborgarar";1000
"2009Á4";" Eyjafjarðarsveit";"Erl. ríkisborgarar";30
"2009Á4";" Hörgárbyggð";"Alls";430
"2009Á4";" Hörgárbyggð";"Karlar";230
"2009Á4";" Hörgárbyggð";"Konur";200
"2009Á4";" Hörgárbyggð";"Ísl. ríkisborgarar";400
"2009Á4";" Hörgárbyggð";"Erl. ríkisborgarar";25
"2009Á4";" Hörgársveit";"Alls";.
"2009Á4";" Hörgársveit";"Karlar";.
"2009Á4";" Hörgársveit";"Konur";.
"2009Á4";" Hörgársveit";"Ísl. ríkisborgarar";.
"2009Á4";" Hörgársveit";"Erl. ríkisborgarar";.
"2009Á4";" Svalbarðsstrandarhreppur";"Alls";410
"2009Á4";" Svalbarðsstrandarhreppur";"Karlar";220
"2009Á4";" Svalbarðsstrandarhreppur";"Konur";190
"2009Á4";" Svalbarðsstrandarhreppur";"Ísl. ríkisborgarar";380
"2009Á4";" Svalbarðsstrandarhreppur";"Erl. ríkisborgarar";35
"2009Á4";" Grýtubakkahreppur";"Alls";340
"2009Á4";" Grýtubakkahreppur";"Karlar";180
"2009Á4";" Grýtubakkahreppur";"Konur";160
"2009Á4";" Grýtubakkahreppur";"Ísl. ríkisborgarar";330
"2009Á4";" Grýtubakkahreppur";"Erl. ríkisborgarar";10
"2009Á4";" Skútustaðahreppur";"Alls";370
"2009Á4";" Skútustaðahreppur";"Karlar";200
"2009Á4";" Skútustaðahreppur";"Konur";180
"2009Á4";" Skútustaðahreppur";"Ísl. ríkisborgarar";360
"2009Á4";" Skútustaðahreppur";"Erl. ríkisborgarar";10
"2009Á4";" Tjörneshreppur";"Alls";60
"2009Á4";" Tjörneshreppur";"Karlar";30
"2009Á4";" Tjörneshreppur";"Konur";25
"2009Á4";" Tjörneshreppur";"Ísl. ríkisborgarar";60
"2009Á4";" Tjörneshreppur";"Erl. ríkisborgarar";.
"2009Á4";" Þingeyjarsveit";"Alls";940
"2009Á4";" Þingeyjarsveit";"Karlar";500
"2009Á4";" Þingeyjarsveit";"Konur";450
"2009Á4";" Þingeyjarsveit";"Ísl. ríkisborgarar";910
"2009Á4";" Þingeyjarsveit";"Erl. ríkisborgarar";30
"2009Á4";" Svalbarðshreppur";"Alls";110
"2009Á4";" Svalbarðshreppur";"Karlar";60
"2009Á4";" Svalbarðshreppur";"Konur";50
"2009Á4";" Svalbarðshreppur";"Ísl. ríkisborgarar";110
"2009Á4";" Svalbarðshreppur";"Erl. ríkisborgarar";5
"2009Á4";" Langanesbyggð";"Alls";520
"2009Á4";" Langanesbyggð";"Karlar";270
"2009Á4";" Langanesbyggð";"Konur";250
"2009Á4";" Langanesbyggð";"Ísl. ríkisborgarar";470
"2009Á4";" Langanesbyggð";"Erl. ríkisborgarar";60
"2009Á4";" Seyðisfjarðarkaupstaður";"Alls";710
"2009Á4";" Seyðisfjarðarkaupstaður";"Karlar";360
"2009Á4";" Seyðisfjarðarkaupstaður";"Konur";340
"2009Á4";" Seyðisfjarðarkaupstaður";"Ísl. ríkisborgarar";660
"2009Á4";" Seyðisfjarðarkaupstaður";"Erl. ríkisborgarar";45
"2009Á4";" Fjarðabyggð";"Alls";4640
"2009Á4";" Fjarðabyggð";"Karlar";2510
"2009Á4";" Fjarðabyggð";"Konur";2130
"2009Á4";" Fjarðabyggð";"Ísl. ríkisborgarar";4160
"2009Á4";" Fjarðabyggð";"Erl. ríkisborgarar";480
"2009Á4";" Vopnafjarðarhreppur";"Alls";680
"2009Á4";" Vopnafjarðarhreppur";"Karlar";360
"2009Á4";" Vopnafjarðarhreppur";"Konur";330
"2009Á4";" Vopnafjarðarhreppur";"Ísl. ríkisborgarar";670
"2009Á4";" Vopnafjarðarhreppur";"Erl. ríkisborgarar";15
"2009Á4";" Fljótsdalshreppur";"Alls";90
"2009Á4";" Fljótsdalshreppur";"Karlar";60
"2009Á4";" Fljótsdalshreppur";"Konur";35
"2009Á4";" Fljótsdalshreppur";"Ísl. ríkisborgarar";90
"2009Á4";" Fljótsdalshreppur";"Erl. ríkisborgarar";.
"2009Á4";" Borgarfjarðarhreppur";"Alls";130
"2009Á4";" Borgarfjarðarhreppur";"Karlar";80
"2009Á4";" Borgarfjarðarhreppur";"Konur";60
"2009Á4";" Borgarfjarðarhreppur";"Ísl. ríkisborgarar";120
"2009Á4";" Borgarfjarðarhreppur";"Erl. ríkisborgarar";15
"2009Á4";" Breiðdalshreppur";"Alls";210
"2009Á4";" Breiðdalshreppur";"Karlar";120
"2009Á4";" Breiðdalshreppur";"Konur";90
"2009Á4";" Breiðdalshreppur";"Ísl. ríkisborgarar";200
"2009Á4";" Breiðdalshreppur";"Erl. ríkisborgarar";10
