"Ársfjórðungur";"Sveitarfélag";"Kyn og ríkisfang";Mannfjöldi eftir sveitarfélögum, kyni, ríkisfangi og ársfjórðungum
"2012Á3";" Langanesbyggð";"Konur";250
"2012Á3";" Langanesbyggð";"Ísl. ríkisborgarar";450
"2012Á3";" Langanesbyggð";"Erl. ríkisborgarar";70
"2012Á3";" Seyðisfjarðarkaupstaður";"Alls";670
"2012Á3";" Seyðisfjarðarkaupstaður";"Karlar";350
"2012Á3";" Seyðisfjarðarkaupstaður";"Konur";320
"2012Á3";" Seyðisfjarðarkaupstaður";"Ísl. ríkisborgarar";640
"2012Á3";" Seyðisfjarðarkaupstaður";"Erl. ríkisborgarar";35
"2012Á3";" Fjarðabyggð";"Alls";4590
"2012Á3";" Fjarðabyggð";"Karlar";2460
"2012Á3";" Fjarðabyggð";"Konur";2130
"2012Á3";" Fjarðabyggð";"Ísl. ríkisborgarar";4130
"2012Á3";" Fjarðabyggð";"Erl. ríkisborgarar";460
"2012Á3";" Vopnafjarðarhreppur";"Alls";680
"2012Á3";" Vopnafjarðarhreppur";"Karlar";360
"2012Á3";" Vopnafjarðarhreppur";"Konur";320
"2012Á3";" Vopnafjarðarhreppur";"Ísl. ríkisborgarar";660
"2012Á3";" Vopnafjarðarhreppur";"Erl. ríkisborgarar";20
"2012Á3";" Fljótsdalshreppur";"Alls";80
"2012Á3";" Fljótsdalshreppur";"Karlar";50
"2012Á3";" Fljótsdalshreppur";"Konur";25
"2012Á3";" Fljótsdalshreppur";"Ísl. ríkisborgarar";80
"2012Á3";" Fljótsdalshreppur";"Erl. ríkisborgarar";.
"2012Á3";" Borgarfjarðarhreppur";"Alls";130
"2012Á3";" Borgarfjarðarhreppur";"Karlar";80
"2012Á3";" Borgarfjarðarhreppur";"Konur";60
"2012Á3";" Borgarfjarðarhreppur";"Ísl. ríkisborgarar";110
"2012Á3";" Borgarfjarðarhreppur";"Erl. ríkisborgarar";20
"2012Á3";" Breiðdalshreppur";"Alls";180
"2012Á3";" Breiðdalshreppur";"Karlar";100
"2012Á3";" Breiðdalshreppur";"Konur";80
"2012Á3";" Breiðdalshreppur";"Ísl. ríkisborgarar";180
"2012Á3";" Breiðdalshreppur";"Erl. ríkisborgarar";5
"2012Á3";" Djúpavogshreppur";"Alls";460
"2012Á3";" Djúpavogshreppur";"Karlar";240
"2012Á3";" Djúpavogshreppur";"Konur";220
"2012Á3";" Djúpavogshreppur";"Ísl. ríkisborgarar";420
"2012Á3";" Djúpavogshreppur";"Erl. ríkisborgarar";45
"2012Á3";" Fljótsdalshérað";"Alls";3420
"2012Á3";" Fljótsdalshérað";"Karlar";1750
"2012Á3";" Fljótsdalshérað";"Konur";1670
"2012Á3";" Fljótsdalshérað";"Ísl. ríkisborgarar";3270
"2012Á3";" Fljótsdalshérað";"Erl. ríkisborgarar";150
"2012Á3";" Sveitarfélagið Hornafjörður";"Alls";2160
"2012Á3";" Sveitarfélagið Hornafjörður";"Karlar";1140
"2012Á3";" Sveitarfélagið Hornafjörður";"Konur";1020
"2012Á3";" Sveitarfélagið Hornafjörður";"Ísl. ríkisborgarar";2040
"2012Á3";" Sveitarfélagið Hornafjörður";"Erl. ríkisborgarar";120
"2012Á3";" Vestmannaeyjabær";"Alls";4190
"2012Á3";" Vestmannaeyjabær";"Karlar";2180
"2012Á3";" Vestmannaeyjabær";"Konur";2010
"2012Á3";" Vestmannaeyjabær";"Ísl. ríkisborgarar";4020
"2012Á3";" Vestmannaeyjabær";"Erl. ríkisborgarar";170
"2012Á3";" Sveitarfélagið Árborg";"Alls";7830
"2012Á3";" Sveitarfélagið Árborg";"Karlar";3970
"2012Á3";" Sveitarfélagið Árborg";"Konur";3860
"2012Á3";" Sveitarfélagið Árborg";"Ísl. ríkisborgarar";7510
"2012Á3";" Sveitarfélagið Árborg";"Erl. ríkisborgarar";320
"2012Á3";" Mýrdalshreppur";"Alls";470
"2012Á3";" Mýrdalshreppur";"Karlar";260
"2012Á3";" Mýrdalshreppur";"Konur";210
"2012Á3";" Mýrdalshreppur";"Ísl. ríkisborgarar";430
"2012Á3";" Mýrdalshreppur";"Erl. ríkisborgarar";35
"2012Á3";" Skaftárhreppur";"Alls";450
"2012Á3";" Skaftárhreppur";"Karlar";240
"2012Á3";" Skaftárhreppur";"Konur";220
"2012Á3";" Skaftárhreppur";"Ísl. ríkisborgarar";440
"2012Á3";" Skaftárhreppur";"Erl. ríkisborgarar";15
"2012Á3";" Ásahreppur";"Alls";190
"2012Á3";" Ásahreppur";"Karlar";90
"2012Á3";" Ásahreppur";"Konur";100
"2012Á3";" Ásahreppur";"Ísl. ríkisborgarar";180
"2012Á3";" Ásahreppur";"Erl. ríkisborgarar";15
"2012Á3";" Rangárþing eystra";"Alls";1730
"2012Á3";" Rangárþing eystra";"Karlar";900
"2012Á3";" Rangárþing eystra";"Konur";830
"2012Á3";" Rangárþing eystra";"Ísl. ríkisborgarar";1560
"2012Á3";" Rangárþing eystra";"Erl. ríkisborgarar";180
"2012Á3";" Rangárþing ytra";"Alls";1510
"2012Á3";" Rangárþing ytra";"Karlar";750
"2012Á3";" Rangárþing ytra";"Konur";760
"2012Á3";" Rangárþing ytra";"Ísl. ríkisborgarar";1390
"2012Á3";" Rangárþing ytra";"Erl. ríkisborgarar";120
"2012Á3";" Hrunamannahreppur";"Alls";780
"2012Á3";" Hrunamannahreppur";"Karlar";410
"2012Á3";" Hrunamannahreppur";"Konur";370
"2012Á3";" Hrunamannahreppur";"Ísl. ríkisborgarar";670
"2012Á3";" Hrunamannahreppur";"Erl. ríkisborgarar";110
"2012Á3";" Hveragerðisbær";"Alls";2270
"2012Á3";" Hveragerðisbær";"Karlar";1170
"2012Á3";" Hveragerðisbær";"Konur";1100
"2012Á3";" Hveragerðisbær";"Ísl. ríkisborgarar";2200
"2012Á3";" Hveragerðisbær";"Erl. ríkisborgarar";80
"2012Á3";" Sveitarfélagið Ölfus";"Alls";1930
"2012Á3";" Sveitarfélagið Ölfus";"Karlar";1010
"2012Á3";" Sveitarfélagið Ölfus";"Konur";910
"2012Á3";" Sveitarfélagið Ölfus";"Ísl. ríkisborgarar";1670
"2012Á3";" Sveitarfélagið Ölfus";"Erl. ríkisborgarar";250
"2012Á3";" Grímsnes- og Grafningshreppur";"Alls";430
"2012Á3";" Grímsnes- og Grafningshreppur";"Karlar";230
"2012Á3";" Grímsnes- og Grafningshreppur";"Konur";200
"2012Á3";" Grímsnes- og Grafningshreppur";"Ísl. ríkisborgarar";390
"2012Á3";" Grímsnes- og Grafningshreppur";"Erl. ríkisborgarar";40
"2012Á3";" Skeiða- og Gnúpverjahreppur";"Alls";500
"2012Á3";" Skeiða- og Gnúpverjahreppur";"Karlar";250
"2012Á3";" Skeiða- og Gnúpverjahreppur";"Konur";250
"2012Á3";" Skeiða- og Gnúpverjahreppur";"Ísl. ríkisborgarar";460
"2012Á3";" Skeiða- og Gnúpverjahreppur";"Erl. ríkisborgarar";40
"2012Á3";" Bláskógabyggð";"Alls";890
"2012Á3";" Bláskógabyggð";"Karlar";440
"2012Á3";" Bláskógabyggð";"Konur";450
"2012Á3";" Bláskógabyggð";"Ísl. ríkisborgarar";800
"2012Á3";" Bláskógabyggð";"Erl. ríkisborgarar";90
"2012Á3";" Flóahreppur";"Alls";640
"2012Á3";" Flóahreppur";"Karlar";340
"2012Á3";" Flóahreppur";"Konur";300
"2012Á3";" Flóahreppur";"Ísl. ríkisborgarar";610
"2012Á3";" Flóahreppur";"Erl. ríkisborgarar";30
"2012Á4";"Alls";"Alls";321890
"2012Á4";"Alls";"Karlar";161440
"2012Á4";"Alls";"Konur";160450
"2012Á4";"Alls";"Ísl. ríkisborgarar";300420
"2012Á4";"Alls";"Erl. ríkisborgarar";21470
"2012Á4";"Höfuðborgarsvæðið";"Alls";205740
"2012Á4";"Höfuðborgarsvæðið";"Karlar";102080
"2012Á4";"Höfuðborgarsvæðið";"Konur";103660
"2012Á4";"Höfuðborgarsvæðið";"Ísl. ríkisborgarar";191800
"2012Á4";"Höfuðborgarsvæðið";"Erl. ríkisborgarar";13940
"2012Á4";" Reykjavíkurborg";"Alls";119800
"2012Á4";" Reykjavíkurborg";"Karlar";59360
"2012Á4";" Reykjavíkurborg";"Konur";60440
"2012Á4";" Reykjavíkurborg";"Ísl. ríkisborgarar";110420
"2012Á4";" Reykjavíkurborg";"Erl. ríkisborgarar";9380
"2012Á4";" Kópavogsbær";"Alls";31740
"2012Á4";" Kópavogsbær";"Karlar";15740
"2012Á4";" Kópavogsbær";"Konur";16000
"2012Á4";" Kópavogsbær";"Ísl. ríkisborgarar";29940
"2012Á4";" Kópavogsbær";"Erl. ríkisborgarar";1800
"2012Á4";" Seltjarnarnesbær";"Alls";4330
"2012Á4";" Seltjarnarnesbær";"Karlar";2140
"2012Á4";" Seltjarnarnesbær";"Konur";2190
"2012Á4";" Seltjarnarnesbær";"Ísl. ríkisborgarar";4130
"2012Á4";" Seltjarnarnesbær";"Erl. ríkisborgarar";200
"2012Á4";" Garðabær";"Alls";11550
"2012Á4";" Garðabær";"Karlar";5660
"2012Á4";" Garðabær";"Konur";5890
"2012Á4";" Garðabær";"Ísl. ríkisborgarar";11190
"2012Á4";" Garðabær";"Erl. ríkisborgarar";360
"2012Á4";" Hafnarfjarðarkaupstaður";"Alls";26820
"2012Á4";" Hafnarfjarðarkaupstaður";"Karlar";13280
"2012Á4";" Hafnarfjarðarkaupstaður";"Konur";13540
"2012Á4";" Hafnarfjarðarkaupstaður";"Ísl. ríkisborgarar";25010
"2012Á4";" Hafnarfjarðarkaupstaður";"Erl. ríkisborgarar";1810
"2012Á4";" Sveitarfélagið Álftanes";"Alls";2330
"2012Á4";" Sveitarfélagið Álftanes";"Karlar";1190
"2012Á4";" Sveitarfélagið Álftanes";"Konur";1140
"2012Á4";" Sveitarfélagið Álftanes";"Ísl. ríkisborgarar";2290
"2012Á4";" Sveitarfélagið Álftanes";"Erl. ríkisborgarar";45
"2012Á4";" Mosfellsbær";"Alls";8980
"2012Á4";" Mosfellsbær";"Karlar";4610
"2012Á4";" Mosfellsbær";"Konur";4370
"2012Á4";" Mosfellsbær";"Ísl. ríkisborgarar";8630
"2012Á4";" Mosfellsbær";"Erl. ríkisborgarar";350
"2012Á4";" Kjósarhreppur";"Alls";210
"2012Á4";" Kjósarhreppur";"Karlar";120
"2012Á4";" Kjósarhreppur";"Konur";90
"2012Á4";" Kjósarhreppur";"Ísl. ríkisborgarar";200
"2012Á4";" Kjósarhreppur";"Erl. ríkisborgarar";10
"2012Á4";"Landsbyggðin";"Alls";116150
"2012Á4";"Landsbyggðin";"Karlar";59360
"2012Á4";"Landsbyggðin";"Konur";56790
"2012Á4";"Landsbyggðin";"Ísl. ríkisborgarar";108620
"2012Á4";"Landsbyggðin";"Erl. ríkisborgarar";7530
"2012Á4";" Reykjanesbær";"Alls";14220
"2012Á4";" Reykjanesbær";"Karlar";7210
"2012Á4";" Reykjanesbær";"Konur";7010
"2012Á4";" Reykjanesbær";"Ísl. ríkisborgarar";12960
"2012Á4";" Reykjanesbær";"Erl. ríkisborgarar";1260
"2012Á4";" Grindavíkurbær";"Alls";2860
"2012Á4";" Grindavíkurbær";"Karlar";1480
"2012Á4";" Grindavíkurbær";"Konur";1370
"2012Á4";" Grindavíkurbær";"Ísl. ríkisborgarar";2640
"2012Á4";" Grindavíkurbær";"Erl. ríkisborgarar";220
"2012Á4";" Sandgerðisbær";"Alls";1580
"2012Á4";" Sandgerðisbær";"Karlar";830
"2012Á4";" Sandgerðisbær";"Konur";750
"2012Á4";" Sandgerðisbær";"Ísl. ríkisborgarar";1350
"2012Á4";" Sandgerðisbær";"Erl. ríkisborgarar";230
"2012Á4";" Sveitarfélagið Garður";"Alls";1430
"2012Á4";" Sveitarfélagið Garður";"Karlar";770
"2012Á4";" Sveitarfélagið Garður";"Konur";660
"2012Á4";" Sveitarfélagið Garður";"Ísl. ríkisborgarar";1280
"2012Á4";" Sveitarfélagið Garður";"Erl. ríkisborgarar";160
"2012Á4";" Sveitarfélagið Vogar";"Alls";1110
"2012Á4";" Sveitarfélagið Vogar";"Karlar";570
"2012Á4";" Sveitarfélagið Vogar";"Konur";530
"2012Á4";" Sveitarfélagið Vogar";"Ísl. ríkisborgarar";1040
"2012Á4";" Sveitarfélagið Vogar";"Erl. ríkisborgarar";70
"2012Á4";" Suðurnesjabær";"Alls";.
"2012Á4";" Suðurnesjabær";"Karlar";.
"2012Á4";" Suðurnesjabær";"Konur";.
"2012Á4";" Suðurnesjabær";"Ísl. ríkisborgarar";.
"2012Á4";" Suðurnesjabær";"Erl. ríkisborgarar";.
"2012Á4";" Akraneskaupstaður";"Alls";6620
"2012Á4";" Akraneskaupstaður";"Karlar";3370
"2012Á4";" Akraneskaupstaður";"Konur";3250
"2012Á4";" Akraneskaupstaður";"Ísl. ríkisborgarar";6200
"2012Á4";" Akraneskaupstaður";"Erl. ríkisborgarar";420
"2012Á4";" Skorradalshreppur";"Alls";60
"2012Á4";" Skorradalshreppur";"Karlar";30
"2012Á4";" Skorradalshreppur";"Konur";25
"2012Á4";" Skorradalshreppur";"Ísl. ríkisborgarar";60
"2012Á4";" Skorradalshreppur";"Erl. ríkisborgarar";.
"2012Á4";" Hvalfjarðarsveit";"Alls";610
"2012Á4";" Hvalfjarðarsveit";"Karlar";330
"2012Á4";" Hvalfjarðarsveit";"Konur";280
"2012Á4";" Hvalfjarðarsveit";"Ísl. ríkisborgarar";580
"2012Á4";" Hvalfjarðarsveit";"Erl. ríkisborgarar";30
"2012Á4";" Borgarbyggð";"Alls";3470
"2012Á4";" Borgarbyggð";"Karlar";1790
"2012Á4";" Borgarbyggð";"Konur";1680
"2012Á4";" Borgarbyggð";"Ísl. ríkisborgarar";3310
"2012Á4";" Borgarbyggð";"Erl. ríkisborgarar";160
"2012Á4";" Grundarfjarðarbær";"Alls";900
"2012Á4";" Grundarfjarðarbær";"Karlar";450
"2012Á4";" Grundarfjarðarbær";"Konur";450
"2012Á4";" Grundarfjarðarbær";"Ísl. ríkisborgarar";770
"2012Á4";" Grundarfjarðarbær";"Erl. ríkisborgarar";140
"2012Á4";" Helgafellssveit";"Alls";60
"2012Á4";" Helgafellssveit";"Karlar";35
"2012Á4";" Helgafellssveit";"Konur";20
"2012Á4";" Helgafellssveit";"Ísl. ríkisborgarar";60
"2012Á4";" Helgafellssveit";"Erl. ríkisborgarar";5
"2012Á4";" Stykkishólmsbær";"Alls";1110
"2012Á4";" Stykkishólmsbær";"Karlar";570
"2012Á4";" Stykkishólmsbær";"Konur";540
"2012Á4";" Stykkishólmsbær";"Ísl. ríkisborgarar";1030
"2012Á4";" Stykkishólmsbær";"Erl. ríkisborgarar";90
"2012Á4";" Eyja- og Miklaholtshreppur";"Alls";160
"2012Á4";" Eyja- og Miklaholtshreppur";"Karlar";80
"2012Á4";" Eyja- og Miklaholtshreppur";"Konur";80
"2012Á4";" Eyja- og Miklaholtshreppur";"Ísl. ríkisborgarar";110
"2012Á4";" Eyja- og Miklaholtshreppur";"Erl. ríkisborgarar";45
"2012Á4";" Snæfellsbær";"Alls";1720
"2012Á4";" Snæfellsbær";"Karlar";880
"2012Á4";" Snæfellsbær";"Konur";840
"2012Á4";" Snæfellsbær";"Ísl. ríkisborgarar";1480
"2012Á4";" Snæfellsbær";"Erl. ríkisborgarar";240
"2012Á4";" Dalabyggð";"Alls";670
"2012Á4";" Dalabyggð";"Karlar";350
"2012Á4";" Dalabyggð";"Konur";320
"2012Á4";" Dalabyggð";"Ísl. ríkisborgarar";640
"2012Á4";" Dalabyggð";"Erl. ríkisborgarar";25
"2012Á4";" Bolungarvíkurkaupstaður";"Alls";910
"2012Á4";" Bolungarvíkurkaupstaður";"Karlar";480
"2012Á4";" Bolungarvíkurkaupstaður";"Konur";440
"2012Á4";" Bolungarvíkurkaupstaður";"Ísl. ríkisborgarar";800
"2012Á4";" Bolungarvíkurkaupstaður";"Erl. ríkisborgarar";120
"2012Á4";" Ísafjarðarbær";"Alls";3750
"2012Á4";" Ísafjarðarbær";"Karlar";1870
"2012Á4";" Ísafjarðarbær";"Konur";1880
"2012Á4";" Ísafjarðarbær";"Ísl. ríkisborgarar";3380
"2012Á4";" Ísafjarðarbær";"Erl. ríkisborgarar";370
"2012Á4";" Reykhólahreppur";"Alls";280
"2012Á4";" Reykhólahreppur";"Karlar";140
"2012Á4";" Reykhólahreppur";"Konur";140
"2012Á4";" Reykhólahreppur";"Ísl. ríkisborgarar";280
"2012Á4";" Reykhólahreppur";"Erl. ríkisborgarar";5
"2012Á4";" Tálknafjarðarhreppur";"Alls";290
"2012Á4";" Tálknafjarðarhreppur";"Karlar";160
"2012Á4";" Tálknafjarðarhreppur";"Konur";140
"2012Á4";" Tálknafjarðarhreppur";"Ísl. ríkisborgarar";240
"2012Á4";" Tálknafjarðarhreppur";"Erl. ríkisborgarar";50
"2012Á4";" Vesturbyggð";"Alls";940
"2012Á4";" Vesturbyggð";"Karlar";490
"2012Á4";" Vesturbyggð";"Konur";460
"2012Á4";" Vesturbyggð";"Ísl. ríkisborgarar";830
"2012Á4";" Vesturbyggð";"Erl. ríkisborgarar";110
"2012Á4";" Súðavíkurhreppur";"Alls";180
"2012Á4";" Súðavíkurhreppur";"Karlar";90
"2012Á4";" Súðavíkurhreppur";"Konur";90
"2012Á4";" Súðavíkurhreppur";"Ísl. ríkisborgarar";160
"2012Á4";" Súðavíkurhreppur";"Erl. ríkisborgarar";20
"2012Á4";" Árneshreppur";"Alls";50
"2012Á4";" Árneshreppur";"Karlar";30
"2012Á4";" Árneshreppur";"Konur";25
"2012Á4";" Árneshreppur";"Ísl. ríkisborgarar";50
"2012Á4";" Árneshreppur";"Erl. ríkisborgarar";0
"2012Á4";" Kaldrananeshreppur";"Alls";100
"2012Á4";" Kaldrananeshreppur";"Karlar";50
"2012Á4";" Kaldrananeshreppur";"Konur";50
"2012Á4";" Kaldrananeshreppur";"Ísl. ríkisborgarar";100
"2012Á4";" Kaldrananeshreppur";"Erl. ríkisborgarar";5
"2012Á4";" Bæjarhreppur";"Alls";.
"2012Á4";" Bæjarhreppur";"Karlar";.
"2012Á4";" Bæjarhreppur";"Konur";.
"2012Á4";" Bæjarhreppur";"Ísl. ríkisborgarar";.
"2012Á4";" Bæjarhreppur";"Erl. ríkisborgarar";.
"2012Á4";" Strandabyggð";"Alls";520
"2012Á4";" Strandabyggð";"Karlar";270
"2012Á4";" Strandabyggð";"Konur";240
"2012Á4";" Strandabyggð";"Ísl. ríkisborgarar";510
"2012Á4";" Strandabyggð";"Erl. ríkisborgarar";10
"2012Á4";" Sveitarfélagið Skagafjörður";"Alls";4000
"2012Á4";" Sveitarfélagið Skagafjörður";"Karlar";2020
"2012Á4";" Sveitarfélagið Skagafjörður";"Konur";1980
"2012Á4";" Sveitarfélagið Skagafjörður";"Ísl. ríkisborgarar";3880
"2012Á4";" Sveitarfélagið Skagafjörður";"Erl. ríkisborgarar";130
"2012Á4";" Húnaþing vestra";"Alls";1170
"2012Á4";" Húnaþing vestra";"Karlar";570
"2012Á4";" Húnaþing vestra";"Konur";610
"2012Á4";" Húnaþing vestra";"Ísl. ríkisborgarar";1130
"2012Á4";" Húnaþing vestra";"Erl. ríkisborgarar";50
"2012Á4";" Blönduósbær";"Alls";880
"2012Á4";" Blönduósbær";"Karlar";450
"2012Á4";" Blönduósbær";"Konur";430
"2012Á4";" Blönduósbær";"Ísl. ríkisborgarar";800
"2012Á4";" Blönduósbær";"Erl. ríkisborgarar";80
"2012Á4";" Sveitarfélagið Skagaströnd";"Alls";510
"2012Á4";" Sveitarfélagið Skagaströnd";"Karlar";270
"2012Á4";" Sveitarfélagið Skagaströnd";"Konur";240
"2012Á4";" Sveitarfélagið Skagaströnd";"Ísl. ríkisborgarar";500
"2012Á4";" Sveitarfélagið Skagaströnd";"Erl. ríkisborgarar";10
"2012Á4";" Skagabyggð";"Alls";100
"2012Á4";" Skagabyggð";"Karlar";50
"2012Á4";" Skagabyggð";"Konur";45
"2012Á4";" Skagabyggð";"Ísl. ríkisborgarar";100
"2012Á4";" Skagabyggð";"Erl. ríkisborgarar";5
"2012Á4";" Húnavatnshreppur";"Alls";410
"2012Á4";" Húnavatnshreppur";"Karlar";220
"2012Á4";" Húnavatnshreppur";"Konur";190
"2012Á4";" Húnavatnshreppur";"Ísl. ríkisborgarar";390
"2012Á4";" Húnavatnshreppur";"Erl. ríkisborgarar";20
"2012Á4";" Akrahreppur";"Alls";200
"2012Á4";" Akrahreppur";"Karlar";90
"2012Á4";" Akrahreppur";"Konur";100
"2012Á4";" Akrahreppur";"Ísl. ríkisborgarar";190
"2012Á4";" Akrahreppur";"Erl. ríkisborgarar";5
"2012Á4";" Akureyrarbær";"Alls";17960
"2012Á4";" Akureyrarbær";"Karlar";8880
"2012Á4";" Akureyrarbær";"Konur";9080
"2012Á4";" Akureyrarbær";"Ísl. ríkisborgarar";17510
"2012Á4";" Akureyrarbær";"Erl. ríkisborgarar";450
"2012Á4";" Norðurþing";"Alls";2860
"2012Á4";" Norðurþing";"Karlar";1450
"2012Á4";" Norðurþing";"Konur";1420
"2012Á4";" Norðurþing";"Ísl. ríkisborgarar";2680
"2012Á4";" Norðurþing";"Erl. ríkisborgarar";180
"2012Á4";" Fjallabyggð";"Alls";2010
"2012Á4";" Fjallabyggð";"Karlar";1010
"2012Á4";" Fjallabyggð";"Konur";1000
"2012Á4";" Fjallabyggð";"Ísl. ríkisborgarar";1940
"2012Á4";" Fjallabyggð";"Erl. ríkisborgarar";70
"2012Á4";" Dalvíkurbyggð";"Alls";1860
"2012Á4";" Dalvíkurbyggð";"Karlar";970
"2012Á4";" Dalvíkurbyggð";"Konur";890
"2012Á4";" Dalvíkurbyggð";"Ísl. ríkisborgarar";1700
"2012Á4";" Dalvíkurbyggð";"Erl. ríkisborgarar";170
"2012Á4";" Arnarneshreppur";"Alls";.
"2012Á4";" Arnarneshreppur";"Karlar";.
"2012Á4";" Arnarneshreppur";"Konur";.
"2012Á4";" Arnarneshreppur";"Ísl. ríkisborgarar";.
"2012Á4";" Arnarneshreppur";"Erl. ríkisborgarar";.
"2012Á4";" Eyjafjarðarsveit";"Alls";1000
"2012Á4";" Eyjafjarðarsveit";"Karlar";520
"2012Á4";" Eyjafjarðarsveit";"Konur";480
"2012Á4";" Eyjafjarðarsveit";"Ísl. ríkisborgarar";980
"2012Á4";" Eyjafjarðarsveit";"Erl. ríkisborgarar";20
"2012Á4";" Hörgárbyggð";"Alls";.
"2012Á4";" Hörgárbyggð";"Karlar";.
"2012Á4";" Hörgárbyggð";"Konur";.
"2012Á4";" Hörgárbyggð";"Ísl. ríkisborgarar";.
"2012Á4";" Hörgárbyggð";"Erl. ríkisborgarar";.
"2012Á4";" Hörgársveit";"Alls";560
"2012Á4";" Hörgársveit";"Karlar";280
"2012Á4";" Hörgársveit";"Konur";280
"2012Á4";" Hörgársveit";"Ísl. ríkisborgarar";550
"2012Á4";" Hörgársveit";"Erl. ríkisborgarar";20
"2012Á4";" Svalbarðsstrandarhreppur";"Alls";410
"2012Á4";" Svalbarðsstrandarhreppur";"Karlar";220
"2012Á4";" Svalbarðsstrandarhreppur";"Konur";200
"2012Á4";" Svalbarðsstrandarhreppur";"Ísl. ríkisborgarar";380
"2012Á4";" Svalbarðsstrandarhreppur";"Erl. ríkisborgarar";35
"2012Á4";" Grýtubakkahreppur";"Alls";360
"2012Á4";" Grýtubakkahreppur";"Karlar";190
"2012Á4";" Grýtubakkahreppur";"Konur";170
"2012Á4";" Grýtubakkahreppur";"Ísl. ríkisborgarar";340
"2012Á4";" Grýtubakkahreppur";"Erl. ríkisborgarar";20
"2012Á4";" Skútustaðahreppur";"Alls";380
"2012Á4";" Skútustaðahreppur";"Karlar";190
"2012Á4";" Skútustaðahreppur";"Konur";190
"2012Á4";" Skútustaðahreppur";"Ísl. ríkisborgarar";370
"2012Á4";" Skútustaðahreppur";"Erl. ríkisborgarar";10
"2012Á4";" Tjörneshreppur";"Alls";60
"2012Á4";" Tjörneshreppur";"Karlar";25
"2012Á4";" Tjörneshreppur";"Konur";30
"2012Á4";" Tjörneshreppur";"Ísl. ríkisborgarar";60
"2012Á4";" Tjörneshreppur";"Erl. ríkisborgarar";.
"2012Á4";" Þingeyjarsveit";"Alls";910
"2012Á4";" Þingeyjarsveit";"Karlar";470
"2012Á4";" Þingeyjarsveit";"Konur";440
"2012Á4";" Þingeyjarsveit";"Ísl. ríkisborgarar";890
"2012Á4";" Þingeyjarsveit";"Erl. ríkisborgarar";20
"2012Á4";" Svalbarðshreppur";"Alls";100
"2012Á4";" Svalbarðshreppur";"Karlar";50
"2012Á4";" Svalbarðshreppur";"Konur";45
"2012Á4";" Svalbarðshreppur";"Ísl. ríkisborgarar";90
"2012Á4";" Svalbarðshreppur";"Erl. ríkisborgarar";5
"2012Á4";" Langanesbyggð";"Alls";520
"2012Á4";" Langanesbyggð";"Karlar";280
"2012Á4";" Langanesbyggð";"Konur";240
"2012Á4";" Langanesbyggð";"Ísl. ríkisborgarar";450
"2012Á4";" Langanesbyggð";"Erl. ríkisborgarar";70
"2012Á4";" Seyðisfjarðarkaupstaður";"Alls";680
"2012Á4";" Seyðisfjarðarkaupstaður";"Karlar";350
"2012Á4";" Seyðisfjarðarkaupstaður";"Konur";320
"2012Á4";" Seyðisfjarðarkaupstaður";"Ísl. ríkisborgarar";640
"2012Á4";" Seyðisfjarðarkaupstaður";"Erl. ríkisborgarar";40
"2012Á4";" Fjarðabyggð";"Alls";4640
"2012Á4";" Fjarðabyggð";"Karlar";2490
"2012Á4";" Fjarðabyggð";"Konur";2150
"2012Á4";" Fjarðabyggð";"Ísl. ríkisborgarar";4160
"2012Á4";" Fjarðabyggð";"Erl. ríkisborgarar";480
"2012Á4";" Vopnafjarðarhreppur";"Alls";680
"2012Á4";" Vopnafjarðarhreppur";"Karlar";360
"2012Á4";" Vopnafjarðarhreppur";"Konur";320
"2012Á4";" Vopnafjarðarhreppur";"Ísl. ríkisborgarar";660
"2012Á4";" Vopnafjarðarhreppur";"Erl. ríkisborgarar";20
"2012Á4";" Fljótsdalshreppur";"Alls";80
"2012Á4";" Fljótsdalshreppur";"Karlar";50
"2012Á4";" Fljótsdalshreppur";"Konur";25
"2012Á4";" Fljótsdalshreppur";"Ísl. ríkisborgarar";80
"2012Á4";" Fljótsdalshreppur";"Erl. ríkisborgarar";.
"2012Á4";" Borgarfjarðarhreppur";"Alls";130
"2012Á4";" Borgarfjarðarhreppur";"Karlar";80
"2012Á4";" Borgarfjarðarhreppur";"Konur";60
"2012Á4";" Borgarfjarðarhreppur";"Ísl. ríkisborgarar";110
"2012Á4";" Borgarfjarðarhreppur";"Erl. ríkisborgarar";20
"2012Á4";" Breiðdalshreppur";"Alls";180
"2012Á4";" Breiðdalshreppur";"Karlar";100
"2012Á4";" Breiðdalshreppur";"Konur";80
"2012Á4";" Breiðdalshreppur";"Ísl. ríkisborgarar";170
"2012Á4";" Breiðdalshreppur";"Erl. ríkisborgarar";5
"2012Á4";" Djúpavogshreppur";"Alls";450
"2012Á4";" Djúpavogshreppur";"Karlar";240
"2012Á4";" Djúpavogshreppur";"Konur";210
"2012Á4";" Djúpavogshreppur";"Ísl. ríkisborgarar";410
"2012Á4";" Djúpavogshreppur";"Erl. ríkisborgarar";45
"2012Á4";" Fljótsdalshérað";"Alls";3430
"2012Á4";" Fljótsdalshérað";"Karlar";1760
"2012Á4";" Fljótsdalshérað";"Konur";1670
"2012Á4";" Fljótsdalshérað";"Ísl. ríkisborgarar";3280
"2012Á4";" Fljótsdalshérað";"Erl. ríkisborgarar";150
"2012Á4";" Sveitarfélagið Hornafjörður";"Alls";2170
